590698.4689096913,6136787.680217661,20.074,32,N,U
590698.4469242007,6136787.824482407,20.08,32,N,U
590698.425624915,6136787.935365099,20.088,32,N,U
590698.4170002559,6136788.0465083355,20.071,32,N,U
590698.3959297065,6136788.146263681,20.041,32,N,U
590698.3807390011,6136788.268403996,20.012,32,N,U
590698.3655482965,6136788.390544312,20.006,32,N,U
590698.3566949046,6136788.512814898,20.019,32,N,U
590698.3478415129,6136788.635085485,20.026,32,N,U
590698.3265422328,6136788.745968181,20.003,32,N,U
590698.3050142189,6136788.8679782245,19.972,32,N,U
590698.2834862064,6136788.989988271,19.967,32,N,U
590698.2619581948,6136789.111998319,19.977,32,N,U
590698.2467674952,6136789.234138632,19.965,32,N,U
590698.2320342646,6136789.334024249,19.948,32,N,U
590698.2168435663,6136789.456164565,19.919,32,N,U
590698.2077614447,6136789.589562501,19.909,32,N,U
590698.1986793238,6136789.72296044,19.919,32,N,U
590698.1961632472,6136789.845361296,19.931,32,N,U
590698.187309861,6136789.967631882,19.921,32,N,U
590698.1718904307,6136790.100899549,19.898,32,N,U
590698.1564710014,6136790.234167215,19.891,32,N,U
590698.1283769542,6136790.367174344,19.906,32,N,U
590698.1066202176,6136790.500311741,19.91,32,N,U
590698.1041041431,6136790.622712598,19.906,32,N,U
590698.0952507596,6136790.744983184,19.891,32,N,U
590698.079831334,6136790.878250853,19.886,32,N,U
590698.0641831747,6136791.022645872,19.898,32,N,U
590698.0551010589,6136791.156043809,19.91,32,N,U
590698.0462476771,6136791.278314398,19.907,32,N,U
590698.0376230296,6136791.389457633,19.892,32,N,U
590698.0287696485,6136791.511728219,19.879,32,N,U
590698.0135789601,6136791.633868537,19.893,32,N,U
590698.0047255799,6136791.756139124,19.909,32,N,U
590697.9766315445,6136791.8891462535,19.911,32,N,U
590697.9551035514,6136792.011156302,19.889,32,N,U
590697.9460214394,6136792.14455424,19.873,32,N,U
590697.9493852067,6136792.289340067,19.881,32,N,U
590697.9400743612,6136792.433865354,19.904,32,N,U
590697.9246549434,6136792.567133023,19.907,32,N,U
590697.9158015661,6136792.689403609,19.9,32,N,U
590697.9001534157,6136792.833798629,19.89,32,N,U
590697.8910713057,6136792.967196567,19.897,32,N,U
590697.8815317284,6136793.122849207,19.912,32,N,U
590697.8851242295,6136793.2565076845,19.916,32,N,U
590697.8889454636,6136793.379038812,19.908,32,N,U
590697.8986465348,6136793.523954909,19.895,32,N,U
590697.908347605,6136793.668871008,19.896,32,N,U
590697.9053740657,6136793.813526565,19.911,32,N,U
590697.896291956,6136793.946924504,19.918,32,N,U
